,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
12,5.0,4.0,16.0,6.5984636634120424e-09,4.354741923433299e-17,7.696516963917337e-21,8.772979518907666e-11,1.3916486042559207e-06,0.0,0.6
13,5.0,4.0,20.0,5.428106907495109e-09,2.9468651460786996e-17,4.30686159087566e-21,6.562668352793443e-11,4.0756357761172564e-07,0.0,0.6
14,7.0,4.0,4.0,1.36407353322978e-08,1.8612839813229215e-16,5.873772649461281e-20,2.423586732399169e-10,3.159492620135573e-05,0.0,0.6
15,7.0,4.0,6.0,1.1695423719339505e-08,1.3681908577895187e-16,3.6149804062752624e-20,1.901310181499921e-10,1.328453425747949e-05,0.0,0.6
16,7.0,4.0,8.0,1.0152441340875764e-08,1.030953282398247e-16,2.326305990141334e-20,1.5252232591136728e-10,5.77026570283424e-06,0.0,0.6
17,7.0,4.0,10.0,8.917543102731206e-09,7.95381195136313e-17,1.5544524562394032e-20,1.2467768269579778e-10,2.5502457147116637e-06,0.0,0.6
18,7.0,4.0,12.0,7.917755377727497e-09,6.270171223926341e-17,1.086201773071556e-20,1.0422100426840819e-10,1.2290825142476776e-06,0.0,0.6
19,7.0,4.0,16.0,6.369750789479036e-09,4.057936368076112e-17,5.638560692317092e-21,7.509035019439643e-11,2.88403791293784e-07,0.0,0.6
20,7.0,4.0,20.0,5.265299239251516e-09,2.7726592679670306e-17,3.2166008077174683e-21,5.67150844812689e-11,7.807249072043023e-08,0.0,0.6
21,9.0,4.0,4.0,1.1785727278048082e-08,1.3893212288144182e-16,2.875540891517124e-20,1.6957419884867875e-10,3.5567626066078347e-06,0.0,0.6
