 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1      -0.19104E-01       0.29175E+00       0.99984E-01       0.40103E+00       0.34617E+00      -0.25832E+02
      0      1       0.50543E-02      -0.35776E-01       0.72187E+00       0.14386E+00       0.24631E+00       0.95665E+01
      0      1      -0.81934E-02      -0.15382E-01       0.88959E-01       0.50195E+01       0.29840E+00      -0.13334E+02
      0      1       0.33218E-01      -0.29774E-01       0.87992E+00       0.47127E+01      -0.22740E+00       0.34528E+02
      0      1       0.10359E-01      -0.64925E-01       0.59092E+00       0.67055E+01      -0.11007E+00       0.25576E+02
      0      1       0.72277E-02       0.36957E+00      -0.60703E+00       0.60103E+01      -0.43505E+00       0.36623E+02
      0      1       0.11988E-01       0.72944E-01      -0.76097E+00      -0.41853E+01       0.10088E+00       0.32915E+02
      0      1       0.13104E-01       0.51447E+00      -0.12777E+00      -0.23329E+01       0.20749E-01       0.45124E+02
      0      1       0.13404E-01      -0.20149E+00      -0.13441E+01      -0.15800E+01      -0.23204E+00      -0.61225E+01
      0      1      -0.25184E-02       0.11684E+00       0.10215E+01       0.61970E+01       0.18618E+00       0.12961E+02
      0      1       0.30810E-01      -0.14384E+00      -0.75574E+00       0.61686E+01       0.69791E-01       0.25269E+02
