,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
85,7.0,7.0,8.0,7.2892927345879045e-09,5.321899929766587e-17,8.521072714986184e-20,2.9190876511311173e-10,0.060833706017505436,3.831621749942712e-12,1.2
86,7.0,7.0,10.0,6.529000504642508e-09,4.268883331751335e-17,6.098572789122897e-20,2.4695288597469146e-10,0.05335187563215957,2.203382103475993e-12,1.2
87,7.0,7.0,12.0,5.8839674177696415e-09,3.4665554342361216e-17,4.448176898647152e-20,2.109070150243266e-10,0.046865577479613264,1.259327967618156e-12,1.2
88,7.0,7.0,16.0,4.8635210896140585e-09,2.3678906662034488e-17,2.5069272913769958e-20,1.583327916565926e-10,0.03658062029950433,4.141575578402592e-13,1.2
89,7.0,7.0,20.0,4.100530964776422e-09,1.6829438372099872e-17,1.5084179009617898e-20,1.2281766570659896e-10,0.029003838166931167,1.3815755097765692e-13,1.2
90,9.0,7.0,8.0,6.8177905443388905e-09,4.654257521220759e-17,6.030730573080072e-20,2.455754583235074e-10,0.04743251339993253,1.5233062941896489e-12,1.2
91,9.0,7.0,10.0,6.128943294428868e-09,3.760750119541473e-17,4.3555289090143433e-20,2.0869903950460202e-10,0.041172786244339454,8.172631479493951e-13,1.2
92,9.0,7.0,12.0,5.547317605981918e-09,3.080486379847652e-17,3.213117683956262e-20,1.7925171363075619e-10,0.03585316729454707,4.370471105267318e-13,1.2
93,9.0,7.0,16.0,4.614052014986111e-09,2.1308079595246445e-17,1.8603598249058795e-20,1.363950081530068e-10,0.02791806659079767,1.3266580371420547e-13,1.2
94,9.0,7.0,20.0,3.908536470401033e-09,1.5288061269647818e-17,1.1403929192850642e-20,1.0678918106648557e-10,0.02199869735597731,4.009878793117282e-14,1.2
95,11.0,7.0,8.0,6.186472773146034e-09,3.8309852789258323e-17,3.740741638114588e-20,1.9340996970462996e-10,0.032749898325596875,3.413222056594125e-13,1.2
96,11.0,7.0,10.0,5.593593654268366e-09,3.1315783710647893e-17,2.7493741576560603e-20,1.6581236858739038e-10,0.028145959261773736,1.663809013875825e-13,1.2
